system,vehicle_id,type,priority,slot,wait_time,reservation,large,entrance_id,walking_dist,traffic_delay,status
Proposed,1,VIP,14.957,7,0,1,0,2,4.0,1.0,ASSIGNED
Proposed,2,NORMAL,9.967,5,0,1,1,2,4.61,1.0,ASSIGNED
Proposed,3,EMERGENCY,19.837,15,0,1,0,2,3.0,1.09,ASSIGNED
Proposed,5,NORMAL,7.901,14,0,0,0,2,3.24,1.09,ASSIGNED
Proposed,4,NORMAL,7.891,22,0,0,1,2,2.41,1.09,ASSIGNED
Proposed,6,NORMAL,8.696,4,0,1,0,2,5.24,1.22,ASSIGNED
Proposed,8,NORMAL,8.034,16,0,0,0,1,8.07,1.22,ASSIGNED
Proposed,7,NORMAL,6.773,13,0,0,0,2,3.83,1.22,ASSIGNED
Proposed,10,NORMAL,9.301,31,0,1,0,2,1.0,1.31,ASSIGNED
Proposed,9,NORMAL,8.079,0,0,0,0,0,8.62,1.31,ASSIGNED
Proposed,13,NORMAL,7.41,3,0,0,0,2,6.0,1.31,ASSIGNED
Proposed,11,NORMAL,12.012,12,1,0,0,2,4.61,1.41,ASSIGNED
Proposed,16,NORMAL,9.346,8,0,1,0,1,8.28,1.41,ASSIGNED
Proposed,15,NORMAL,9.344,1,0,1,0,0,7.71,1.41,ASSIGNED
Proposed,14,NORMAL,14.579,17,1,1,0,1,7.08,1.5,ASSIGNED
Proposed,17,VIP,13.744,2,0,1,0,0,6.83,1.5,ASSIGNED
Proposed,18,NORMAL,9.249,24,0,1,0,1,8.0,1.5,ASSIGNED
Proposed,20,NORMAL,8.69,9,0,1,0,0,7.32,1.59,ASSIGNED
Proposed,22,NORMAL,6.784,10,0,0,0,0,6.39,1.59,ASSIGNED
Proposed,21,NORMAL,6.774,18,0,0,0,1,6.1,1.59,ASSIGNED
Proposed,19,NORMAL,12.05,25,1,0,0,1,7.0,1.69,ASSIGNED
Proposed,26,VIP,11.591,11,0,0,0,0,5.47,1.69,ASSIGNED
Proposed,24,NORMAL,6.673,21,0,0,0,2,3.24,1.69,ASSIGNED
Proposed,23,NORMAL,12.044,30,1,0,0,2,2.0,1.78,ASSIGNED
Proposed,25,NORMAL,11.488,19,1,0,0,0,5.12,1.78,ASSIGNED
Proposed,27,NORMAL,8.076,26,0,1,0,0,6.0,1.84,ASSIGNED
Proposed,29,NORMAL,6.582,20,0,0,0,1,4.16,1.81,ASSIGNED
Proposed,28,NORMAL,6.572,27,0,0,0,1,5.0,1.81,ASSIGNED
Proposed,31,EMERGENCY,22.929,6,0,0,0,2,4.16,1.88,ASSIGNED
Proposed,32,NORMAL,9.001,5,0,1,0,2,4.61,1.88,ASSIGNED
Proposed,33,NORMAL,7.198,29,0,0,0,2,3.0,1.88,ASSIGNED
Proposed,30,NORMAL,11.531,12,1,0,0,1,4.61,1.88,ASSIGNED
Proposed,34,NORMAL,8.777,23,0,1,0,2,2.0,1.88,ASSIGNED
Proposed,36,NORMAL,7.006,22,0,0,0,2,2.41,1.88,ASSIGNED
Proposed,37,VIP,12.243,15,0,0,0,2,3.0,1.94,ASSIGNED
Proposed,35,NORMAL,11.444,28,1,0,0,0,4.0,1.94,ASSIGNED
Proposed,42,NORMAL,13.537,7,1,0,0,2,4.0,1.97,ASSIGNED
